crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
3993,"environmental, food & beverage, material, medicinal","endocrine system applications, immune system applications, minerals, muscular/skeletal applications, ornamental/turf, timber wood","bark, entire plant, leaves, roots, stems"
400,food & beverage,"minerals, vitamins","leaves, roots"
400004,"food & beverage, material","fibres, lipids, protein, vitamins","seeds, stems"
4004,"environmental, material, medicinal","dye/tannin, shade & shelter, timber wood, Unspecified","bark, entire plant, fruits"
4006,"environmental, food additive, fuels, material, medicinal","colorant, dye/tannin, fuelwood, living fence, timber wood, Unspecified","bark, entire plant, fruits, Unspecified"
401,"environmental, food & beverage, fuels, material, medicinal","charcoal, digestive system applications, dye/tannin, endocrine system applications, erosion control, fuelwood, lipids/oil & fats, living fence, minerals, nutritional applications, protein, respiratory applications, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, fruits, leaves, seeds, stems"
4016,animal food (feed),"minerals, vitamins",entire plant
402,"food & beverage, food additive, material","condiment/seasoning, fibres, minerals, sugar, vitamins","fruits, leaves"
4023,"material, medicinal","canes, fibres, Unspecified","bark, Unspecified"
4027,environmental,ornamental/turf,entire plant
4033,"material, medicinal","timber wood, Unspecified","bark, Unspecified"
4037,"environmental, food & beverage, material, medicinal","agroforestry, digestive system applications, minerals, other material/chemicals, protein, starch","entire plant, leaves, roots"
4040,"environmental, food additive, medicinal","colorant, digestive system applications, endocrine system applications, genitourinary system applications, metabolic system applications, muscular/skeletal applications, ornamental/turf, skin applications","entire plant, flowers"
4042,"animal food (feed), environmental, fuels, material","charcoal, erosion control, firebreaks, fuelwood, honey, living fence, manure/fertilizer, minerals, nitrogen fixation, ornamental/turf, revegetation, vitamins","bark, entire plant, flowers, leaves, roots"
4053,"environmental, material","dye/tannin, shade & shelter, timber wood","bark, entire plant, stems"
4054,"environmental, fuels, material","charcoal, dye/tannin, fuelwood, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant, stems"
4055,"environmental, material","shade & shelter, timber wood","bark, entire plant"
4056,material,timber wood,bark
4057,fuels,fuelwood,bark
4058,"environmental, fuels","fuelwood, ornamental/turf","bark, entire plant"
4059,fuels,fuelwood,bark
4061,"food additive, material, medicinal","condiment/seasoning, digestive system applications, dye/tannin, skin applications",flowers
4073,material,timber wood,bark
4074,"animal food (feed), environmental, material, medicinal","lipids, lipids/oil & fats, minerals, shade & shelter, timber wood, Unspecified, vitamins, windbreak","bark, entire plant, exudates, fruits, seeds"
4075,material,"gums/resins, timber wood","bark, stems"
4076,"fuels, material, medicinal","non-wood fuel, timber wood, Unspecified","bark, stems, Unspecified"
4079,"animal food (feed), environmental, fuels, material, medicinal, poison","charcoal, dental applications, digestive system applications, dye/tannin, erosion control, indicators, mammals, manure/fertilizer, minerals, protein, sensory applications, skin applications, virus (or virus like)","bark, entire plant, flowers, fruits, leaves, stems"
4081,"environmental, food & beverage, medicinal, poison, social","digestive system applications, mammals, ornamental/turf, smoking material, vitamins","entire plant, flowers, leaves"
4089,"food & beverage, material","lipids/oil & fats, minerals",leaves
4090,"food & beverage, material","lipids/oil & fats, minerals",leaves
4094,food & beverage,"minerals, vitamins",roots
411,"environmental, food & beverage, medicinal, poison","agroforestry, blood system applications, digestive system applications, fish, minerals, mites/arachnids, molluscs, muscular/skeletal applications, nervous system applications, respiratory applications, skin applications, vitamins","entire plant, flowers, fruits, leaves, roots, seeds, stems"
4111,"environmental, food & beverage, fuels, material","charcoal, cosmetics & perfumery, essential oils, fuelwood, gums/resins, minerals, non-wood fuel, ornamental/turf, protein, shade & shelter, timber wood, vitamins","bark, entire plant, exudates, fruits, seeds"
412,"food & beverage, material, medicinal, poison","dye/tannin, fibres, insects, mammals, minerals, Unspecified, vitamins","bark, fruits, leaves, seeds"
4127,"animal food (feed), environmental, material, medicinal","digestive system applications, fibres, lipids/oil & fats, nervous system applications, protein, sensory applications, shade & shelter","bark, entire plant, exudates, flowers, seeds"
414,"environmental, food & beverage, material, medicinal, poison","agroforestry, blood system applications, cosmetics & perfumery, digestive system applications, fibres, fish, genitourinary system applications, immune system applications, insects, lipids/oil & fats, mammals, minerals, mites/arachnids, muscular/skeletal applications, nervous system applications, skin applications, vitamins","entire plant, fruits, leaves, roots, seeds, stems"
4145,"food & beverage, material","minerals, timber wood, vitamins","bark, fruits, roots"
4159,"environmental, food & beverage, food additive, material, medicinal","blood system applications, condiment/seasoning, cosmetics & perfumery, digestive system applications, genitourinary system applications, minerals, muscular/skeletal applications, nervous system applications, nutritional applications, ornamental/turf, respiratory applications, sensory applications, skin applications, vitamins","entire plant, flowers, leaves, roots, seeds"
4161,"animal food (feed), environmental, food & beverage, medicinal, poison","genitourinary system applications, living fence, mammals, minerals, respiratory applications, sensory applications, vitamins","entire plant, fruits, leaves, roots"
4164,"animal food (feed), material, medicinal","blood system applications, cosmetics & perfumery, genitourinary system applications, minerals, skin applications",entire plant
4177,food additive,condiment/seasoning,fruits
4178,food additive,condiment/seasoning,fruits
418,"environmental, fuels, material","agroforestry, fuelwood, ornamental/turf, shade & shelter, timber wood","bark, entire plant"
4183,food additive,condiment/seasoning,fruits
4185,"animal food (feed), environmental","erosion control, minerals, nitrogen fixation, shade & shelter, vitamins","entire plant, roots"
4186,"animal food (feed), environmental","erosion control, minerals, nitrogen fixation, shade & shelter, vitamins","entire plant, roots"
4187,"animal food (feed), environmental","erosion control, minerals, nitrogen fixation, shade & shelter, vitamins","entire plant, roots"
4189,material,timber wood,bark
4198,"environmental, material, medicinal, poison","dye/tannin, immune system applications, insects, lipids/oil & fats, ornamental/turf, paper, skin applications, soil improvers, timber wood","bark, entire plant, fruits, leaves, seeds, stems"
4214,material,timber wood,bark
4218,"environmental, food & beverage, medicinal","blood system applications, digestive system applications, minerals, ornamental/turf, skin applications, vitamins","entire plant, fruits"
4221,material,timber wood,bark
4223,"environmental, food & beverage, medicinal, poison","insects, living fence, minerals, Unspecified, vitamins","entire plant, fruits, leaves, roots"
4225,"animal food (feed), environmental, food & beverage, fuels, medicinal","dental applications, digestive system applications, endocrine system applications, fuelwood, genitourinary system applications, living fence, minerals, ornamental/turf, respiratory applications, sensory applications, vitamins","bark, entire plant, fruits, leaves, roots, stems"
4229,"environmental, food & beverage","living fence, minerals, ornamental/turf, vitamins","entire plant, fruits"
4233,material,fibres,leaves
4238,"animal food (feed), environmental, fuels, material, medicinal","blood system applications, charcoal, fuelwood, living fence, ornamental/turf, timber wood, vitamins","bark, entire plant, leaves"
4256,"food & beverage, food additive, material, medicinal, poison","bacteria, blood system applications, condiment/seasoning, cosmetics & perfumery, digestive system applications, essential oils, genitourinary system applications, immune system applications, minerals, muscular/skeletal applications, nervous system applications, protein, respiratory applications","bark, seeds"
42642,animal food (feed),"minerals, protein","fruits, leaves"
42696,"food & beverage, fuels, material, medicinal","digestive system applications, dye/tannin, fuelwood, genitourinary system applications, honey, respiratory applications, sensory applications, skin applications, timber wood, Unspecified","bark, flowers, fruits, roots, sap, stems"
42707,"environmental, material, medicinal","dye/tannin, ornamental/turf, timber wood, Unspecified","bark, entire plant, stems"
4271,"food & beverage, material","lipids/oil & fats, minerals, protein, timber wood, vitamins","bark, fruits, seeds"
4273,"environmental, food & beverage, fuels, material, medicinal","charcoal, lipids/oil & fats, minerals, protein, shade & shelter, Unspecified, vitamins","bark, entire plant, fruits, seeds, stems"
42760,"environmental, material, medicinal","digestive system applications, ornamental/turf, timber wood","bark, entire plant, roots, stems"
4278,"food & beverage, food additive, material","fibres, minerals, sweetener, timber wood, vitamins","bark, fruits, seeds, Unspecified"
4280,medicinal,digestive system applications,"fruits, leaves"
4281,"animal food (feed), environmental, food & beverage, material, medicinal, non-vertebrate food","dye/tannin, erosion control, fibres, manure/fertilizer, minerals, ornamental/turf, revegetation, Unspecified, vitamins","entire plant, flowers, fruits, leaves, roots, seeds, stems"
4283,"environmental, fuels, material","fuelwood, ornamental/turf, shade & shelter, timber wood","bark, entire plant"
4296,animal food (feed),"minerals, vitamins",entire plant
